DA_word,count_DA
اللي,1247
ديال,920
غادي,580
شي,580
باش,452
صافي,420
ديالي,397
بزاف,354
بحال,342
را,296
هذ,290
ماشي,273
ليه,253
ديك,248
شنو,240
قاللي,222
حيت,211
شويه,205
دياله,193
والو,182
علاش,179
ديالها,177
مزيان,163
كلشي,163
دابا,159
ذاكشي,156
مشيت,155
كاين,154
هكا,148
درت,147
ندير,143
راه,135
منين,131
واش,122
هما,120
بغيت,119
هذك,118
ال,117
معيا,117
وغادي,115
احنا,110
عل,110
راجلي,107
ايوا,106
هذاك,105
كيقول,105
جوج,105
جا,103
وخا,102
ديما,97
عنده,97
للدار,95
تما,94
معايا,93
رجعت,93
كي,91
نمشي,91
كيفاش,90
ليها,89
اخويا,89
نقول,89
عندك,86
ديالك,86
فين,82
زعما,82
باغي,80
كنقول,80
بنتي,74
شحال,74
شفتوا,74
واخا,73
ديالنا,73
كاع,73
جات,73
دي,72
دار,72
يلا,71
كاملين,71
كيكون,71
فلانه,71
عندها,70
نهار,70
وصافي,70
كامل,70
غدي,69
بقت,68
هشي,68
لينا,68
بغيتش,67
كنتش,67
الفلوس,65
وحده,64
فيا,64
كيبقى,63
شكون,60
التليفون,60
مشكل,60
ديالهم,60
باللي,59
كيجي,59
وداكشي,59
زوين,59
اش,58
خويا,58
هنايا,58
عندنا,58
دير,57
كندير,57
وال,56
عاوتاني,56
شوف,55
قت,55
الشي,54
شوفي,54
كتقول,54
وكن,54
كنهضر,52
مازال,52
بابا,52
فيهم,51
الدراري,50
لقيت,50
هك,50
ماغاديش,49
المشكل,49
الحوايج,49
بغيتي,48
ملي,48
الهضه,48
عارفين,48
تمشي,47
مشينا,47
وياه,47
دوك,46
البلاصه,46
نتزوج,45
كنبغي,45
كتجي,45
بشويه,44
ضروري,44
كتكون,44
نعاود,43
جيت,43
نشوف,43
رجع,43
كنشوف,43
جاو,43
بقيتش,42
دايره,42
عارف,42
فيك,41
يجي,41
فاش,40
برا,40
واللي,40
كيدير,40
دارت,40
دوزت,39
ديري,39
عارفه,38
كنمشي,38
طلع,38
كتبقى,38
بجوج,37
داير,37
خدامه,37
مي,37
الكيك,37
كيما,37
ياك,36
نزيد,36
ماكينش,36
حوايج,36
نقدر,35
سنين,35
خير,35
وليت,35
نخدم,35
خصني,35
خص,35
كنحس,35
فينا,35
ديالو,35
تقدروا,35
نهضر,34
قالي,34
كون,34
كانش,34
هذو,34
درنا,33
هكاك,33
راجل,32
عفاك,32
وانت,32
بيا,32
راك,32
بنادم,32
بغاش,32
الحبس,32
مشات,31
وهذ,31
كين,31
لاباس,31
هضرت,31
كيهضر,31
ذك,31
بوحدي,31
ديالكم,31
نيت,31
واححد,30
مشى,30
كدير,30
باغ,29
سيمانه,29
ومشيت,29
نهائيا,29
المرات,29
بديت,29
خدام,29
بغى,29
بشي,29
تزوج,28
النمره,28
فلوس,28
عيط,28
عرفتش,28
قدام,28
انايا,28
بلي,28
هاد,28
عايشه,27
ودابا,27
حطيت,27
وكشي,27
مش,27
درتي,27
عاود,27
ماكي,27
الكوزينه,27
قالتلي,27
داز,27
وشنو,26
يقوللي,26
تجي,26
وكلشي,26
هضره,26
جت,26
باقي,26
شافني,26
وم,26
شوفوا,26
ولاد,26
كيشوف,26
الحيط,26
سميته,25
بصح,25
عرفتي,25
كت,25
داكشي,25
وك,25
عرفت,25
وكتقول,25
حامله,25
نخرج,25
بغيتو,25
نرجع,25
طلعت,25
عمرني,25
اتاي,25
بغيتوا,25
خواتاتي,25
بق,24
وكذا,24
عنديش,24
خصك,24
بلاصه,24
اشنو,24
بقاش,24
داري,24
نجي,23
فيشي,23
يدير,23
وقع,23
خديت,23
خدامين,23
شفت,23
دايرين,23
كنبقى,23
ناس,23
جاب,23
البوليس,23
الغد,23
كيبان,23
الوالدين,22
دازت,22
مراه,22
ندخل,22
كيبغي,22
كنبكي,22
وعندي,22
يجيو,22
قدامي,22
ندوز,22
بغات,21
وكيفاش,21
فيديك,21
الراجل,21
جاني,21
وحنا,21
كنقلب,21
الماكله,21
كنحاول,21
كنكون,21
البارح,21
واعر,21
وليداتي,21
الملحه,21
جاي,20
الدري,20
وعلاش,20
كاينه,20
نقدرش,20
وديك,20
دوزنا,20
عندكم,20
المده,20
قالل,20
خليت,20
كنقرا,20
كتبغي,20
وشي,20
راكم,20
هكذاك,20
دا,19
هزيت,19
حنا,19
بلاتي,19
بعدا,19
الهره,19
جاتني,19
نص,19
دغيا,19
كيعجبني,19
واعره,19
وبزاف,18
نمشيو,18
حت,18
عايشين,18
كدخل,18
نحط,18
السبيطار,18
كيدخل,18
باغين,18
كتبكي,18
نقوللكم,18
منلي,18
ناض,18
وماشي,17
بنتك,17
دوز,17
لواحد,17
وياك,17
بالليل,17
قلتي,17
عاودت,17
القرايه,17
شت,17
كنخدم,17
كيجيو,17
ورا,17
بال,17
الطوموبيل,17
كضرب,17
هذوك,17
كرجع,17
كنتمنى,17
هاني,17
خوتي,17
وكقول,17
وملي,16
يمكنش,16
وبغيت,16
ولات,16
خلي,16
هضر,16
سولت,16
نا,16
نقولك,16
داروا,16
عرفش,16
العيالات,16
وكيجي,16
بغ,16
صاحبتي,16
حسيت,16
حدايا,16
كنخاف,16
وقاللي,16
مجموعين,16
كتعامل,16
الاحسن,15
صعيبه,15
نعطيك,15
نقولها,15
ودير,15
كتقولي,15
كتهضر,15
كتخدم,15
بكري,15
كتمشي,15
صعيب,15
كيمشي,15
كنعرف,15
راجلها,15
ماكانش,15
خايبه,15
كناكل,15
كنزيد,15
لشي,15
كنفكر,15
يشوف,15
كنجري,15
عجبنيش,15
كتولي,15
شفتو,15
الذا,14
بعضياتهم,14
راكي,14
مراته,14
تقوللي,14
خصنا,14
خدمت,14
الضياف,14
كتعرف,14
كيدوز,14
كمل,14
يهضر,14
طحت,14
ماك,14
كنغو,14
الدور,14
ليهم,14
وكي,14
فييه,14
جبد,14
كندور,14
وراه,14
واقيلا,14
حط,14
نوصل,14
ديروا,14
كنبغيه,14
باغه,14
حاطه,14
وكندير,14
قلتلكم,14
تهضر,13
ود,13
وغ,13
مشيتي,13
ماغديش,13
ماقدرش,13
العشيه,13
كيقولك,13
كطيب,13
معليش,13
كنلقا,13
حوايجي,13
عجبني,13
غاديه,13
كقول,13
الطابله,13
الدرب,13
غندير,13
كنسمع,13
الموطور,13
يلاه,13
كشد,13
بعضياتنا,13
كانتش,13
خايب,13
ولادي,13
نوريكم,13
كيبغيني,13
راسكم,13
الهار,12
شن,12
وكت,12
عيت,12
ونص,12
صونيت,12
قلتلك,12
نعس,12
كندخل,12
وه,12
هكك,12
ساهله,12
اللايف,12
طاح,12
والوالده,12
كتشوف,12
قدرتش,12
بع,12
كيجيب,12
وت,12
شاده,12
بحالي,12
كنديرها,12
يدوز,12
كقدر,12
كنضحك,12
الدوا,12
كيبيع,12
فذاك,12
كنخرج,12
وكنب,12
سنيده,12
وباش,12
الطبله,12
النيت,12
الروز,12
الرز,12
لايك,12
تقدر,11
مرا,11
غاده,11
تشوف,11
نخلي,11
عطيت,11
نيشان,11
كق,11
كيقرا,11
قاللك,11
الباك,11
المزيان,11
كيعاود,11
لتحت,11
كديري,11
مطيشه,11
قلتل,11
كيضرب,11
ودنا,11
بديك,11
كنبغيك,11
عروسه,11
كتلقا,11
باغا,11
ناري,11
كنحط,11
الفرماج,11
هذيك,11
هادو,11
هادي,11
تنقول,10
نلقى,10
ينعس,10
مزوج,10
زوينين,10
باه,10
الخدامه,10
نعمر,10
وي,10
ونشوف,10
ميساج,10
نضت,10
وليتي,10
صحابي,10
ولدها,10
ويلا,10
باين,10
باباك,10
الوقيت,10
جينا,10
جايه,10
يخدم,10
غلط,10
كيجري,10
دراري,10
لل,10
خايفه,10
لدارهم,10
خلاني,10
خوك,10
كيقولو,10
الريحه,10
نخليها,10
وبديت,10
وبلا,10
وحدين,10
نخرجوا,10
البلان,10
باغيه,10
بوحده,10
ودرنا,10
قريت,10
غاديين,10
اللعيبه,10
جبدت,10
وولد,10
خاصني,10
عايش,10
تهلاو,10
درتها,10
فمهم,10
بنتها,10
الطم,10
شافتني,10
وشويه,10
نوجد,10
واعرين,10
العيشه,9
لداخل,9
قالله,9
نعيط,9
السميه,9
بغيتك,9
السي,9
كثر,9
نضرب,9
تنساوش,9
وياها,9
ومشينا,9
قليب,9
شديت,9
بقش,9
كياكل,9
كيدور,9
غاديش,9
عيطت,9
كيخدم,9
كيطيب,9
اطيني,9
كملت,9
كيبدا,9
طيح,9
نجمع,9
البيسي,9
الطاليان,9
درته,9
نوض,9
بغاو,9
الحك,9
مشاو,9
مالكي,9
كناخذ,9
ونشري,9
وبغى,9
وديت,9
وجوج,9
ساكن,9
نشوفوا,9
ودي,9
خليته,9
نبين,9
فرحانه,9
حاسه,9
وديري,9
لداري,9
سخون,9
وبقت,9
كتجمع,9
نحطها,9
ميمتي,9
اغلبيه,9
مقطع,9
ليا,9
بيناتهم,8
خليها,8
باغى,8
بيناتنا,8
طاحت,8
ونجي,8
بغا,8
بقتش,8
لدار,8
الخبار,8
وفين,8
كع,8
الدريه,8
تخدمي,8
ونعاود,8
فش,8
تخطبت,8
قتلك,8
عارفها,8
بقات,8
وش,8
مقابله,8
جايين,8
مابغاتش,8
كيخرج,8
ماكين,8
يجبد,8
يجيب,8
نزوج,8
لقاني,8
بغينا,8
لافاك,8
خا,8
كنحماق,8
قلتلها,8
قدرت,8
عندكش,8
ناعسه,8
كدي,8
كتخلي,8
قلتلي,8
ككبر,8
شتي,8
كضحك,8
نقيه,8
قديت,8
فحال,8
خلا,8
قربوا,8
دقه,8
بداو,8
يبان,8
معاه,8
خليه,8
كتبان,8
وجا,8
وكاين,8
تدي,8
نجبد,8
فقت,8
كيعطي,8
الصاك,8
لقيته,8
خصه,8
بغيتها,8
نديرو,8
كيحماق,8
وراجلي,8
كنصب,8
للطبيب,8
وندير,8
بالخصوص,8
الخطابه,8
خليتها,8
كتحمر,8
نتلاقى,8
باينه,8
وكتجي,8
كيطيح,8
سميتو,8
فلفله,8
تشوفوا,8
الفران,8
نصاوب,8
المقرون,8
الفاني,8
السبراي,8
ماتبقاوش,8
ينوض,7
كاينين,7
وهذيك,7
تهضري,7
لداركم,7
طافي,7
يبغي,7
حس,7
تعاون,7
وا,7
جاتك,7
تسمعك,7
صوني,7
وهض,7
صيفط,7
يصوني,7
ويجي,7
ماكيناش,7
مشي,7
حدا,7
بغي,7
كتقرا,7
لقينا,7
كعرف,7
خصها,7
كيعرف,7
الميناج,7
بح,7
بداكشي,7
نشري,7
قلتله,7
تولد,7
ماقدرتش,7
المعانه,7
كنلعب,7
اليوتوب,7
كيخلي,7
ني,7
شدني,7
المعن,7
مننا,7
كيطلع,7
ماماك,7
كتش,7
كحله,7
ديريكت,7
تلاقيت,7
مزيانين,7
وجاب,7
ماكله,7
قهوه,7
كنطلب,7
وعيط,7
وهدشي,7
الديسير,7
كتح,7
ماديرش,7
وعطيه,7
نحيد,7
دماغي,7
رديت,7
هاز,7
عجبتني,7
جابت,7
وباغي,7
تجيب,7
تولي,7
واللا,7
بدينا,7
تجبد,7
عطاني,7
وبدينا,7
كيرجع,7
سالينا,7
ديريها,7
نقولوا,7
الدرجه,7
الشكلاط,7
كحسب,7
للدراري,7
كتبقا,7
ماهياش,7
طايب,7
كنوجد,7
كتجيني,7
نولد,7
نشاركها,7
حكيتي,7
الاذا,7
ناويه,7
راجلك,7
الغلط,7
ماكدبش,7
كيطلب,7
غزاله,7
لاصق,7
غالطه,7
ودايره,7
كجيك,7
كنبغيكم,7
المعالق,7
البوطه,7
كنضيف,7
الشربه,7
رطيط,7
الزاج,7
تستعملوها,7
تخمر,7
هاكا,7
تحس,6
قاللها,6
شافت,6
نوقف,6
ماش,6
دخلي,6
تصوني,6
وهذاك,6
الدقيقه,6
تبغي,6
غتكون,6
سمحيلي,6
داك,6
بحاله,6
اسي,6
وسيري,6
بس,6
طوموبيل,6
عطيني,6
خوها,6
بوك,6
نقلب,6
ونرجع,6
بغش,6
قالك,6
البعيد,6
بقاتش,6
كشي,6
يطيح,6
فهمتش,6
ذوك,6
فايقه,6
يبقاش,6
بلاصته,6
غادين,6
كتلف,6
واح,6
لقى,6
واقع,6
يعاون,6
خدم,6
عندوش,6
شد,6
ولادك,6
الحكام,6
الراي,6
كجي,6
تجيني,6
الهض,6
زائد,6
كريت,6
حليت,6
خرجي,6
طيحت,6
نحس,6
كعود,6
يديرلك,6
مراتك,6
ورايا,6
ريحت,6
خليتهم,6
شدوني,6
صح,6
ويقوللي,6
كتخ,6
الميكا,6
سولني,6
كتحس,6
وتما,6
غوت,6
ديركت,6
مضارب,6
نقولش,6
نسلم,6
ول,6
بقيتي,6
كتلقى,6
كدور,6
والغد,6
ونهار,6
كحمل,6
ماغادي,6
فيق,6
خرجتي,6
الباي,6
نشد,6
طلعنا,6
عطيته,6
نرجعوا,6
ومشاو,6
كنقد,6
وجات,6
العافيه,6
الكيسان,6
يقدروا,6
كتعجبيني,6
كيها,6
كرفض,6
نخطبك,6
كنعاني,6
خليني,6
العقليه,6
لراجلي,6
للارض,6
صغيور,6
رجعتي,6
كذبش,6
كتخص,6
لقيتها,6
خلات,6
قبله,6
مهليه,6
كطلع,6
كتعجبني,6
وبنتها,6
الوليدات,6
بهذ,6
كنفضل,6
مشت,6
وخليتها,6
كيولي,6
النيفو,6
حطت,6
الوزه,6
قرايتك,6
وحاطه,6
وبنتي,6
نطيب,6
معالق,6
الثومه,6
ديروها,6
الياغورت,6
بالشكلاط,6
كصور,6
تستعملوا,6
نخلط,6
شتوا,6
باتيسير,6
الفريز,6
ونزيد,5
تتقول,5
باغيك,5
الفلان,5
وقيت,5
اويلي,5
الديور,5
وع,5
عت,5
الاحساس,5
المرا,5
نقدروا,5
عفك,5
ولده,5
بحالك,5
تقولها,5
تزيدي,5
خذت,5
اولدي,5
اح,5
قتي,5
نشوفه,5
كنوني,5
لاه,5
لعند,5
الكار,5
قالتله,5
كنجي,5
كنبات,5
فينك,5
خرجتها,5
ولينا,5
بارطاجي,5
عندناش,5
خليك,5
عننا,5
البيبان,5
كيوصل,5
غن,5
نشوفو,5
زع,5
بالخل,5
مادير,5
ماي,5
النصاره,5
كلش,5
صحابه,5
يخدموا,5
كنديرو,5
وزوين,5
نصفط,5
نسالي,5
خدا,5
خبار,5
وخلاني,5
ماكش,5
خوي,5
وليد,5
وعود,5
قاللهم,5
خيبه,5
نغو,5
سكتي,5
يخطبوني,5
تقراي,5
وق,5
كندوز,5
خصهم,5
لقيتش,5
غا,5
ليك,5
مادرت,5
الكوميسير,5
طيحته,5
نسول,5
نعطيهم,5
للمدينه,5
الديبلوم,5
اخو,5
لكش,5
يعاوني,5
عي,5
نكونوا,5
للطليان,5
كنعرفو,5
نض,5
تفرجوا,5
كتخرج,5
طالعه,5
كتحكم,5
ناضوا,5
بقو,5
ماحسيتش,5
وجاو,5
كيقلب,5
سديت,5
نشوفك,5
نسمح,5
جاش,5
وشكون,5
كيضحك,5
شافوني,5
طلعتي,5
الخوت,5
كننت,5
كنجيب,5
حاضي,5
كارطه,5
كتبيع,5
خيزو,5
مهلي,5
عامره,5
والفلوس,5
ومش,5
حاط,5
اواه,5
يضربوا,5
كينش,5
وبنادم,5
كيغو,5
بانت,5
وانتما,5
نعست,5
تبقاش,5
دق,5
حداهم,5
لولدي,5
يشري,5
تكونش,5
ودوز,5
قدامنا,5
ولاو,5
خانز,5
قربت,5
طول,5
لهنا,5
حشمت,5
كنشرب,5
ماتبقاش,5
شفر,5
وداير,5
الجوج,5
نطلع,5
تور,5
حطيتها,5
كتجيب,5
بلاصتها,5
نخمم,5
نديروها,5
طلعوا,5
كنقص,5
وحق,5
ضت,5
خينا,5
وكيب,5
وخوتي,5
حالاتهم,5
خلاو,5
تجينا,5
طرا,5
كانوش,5
جاتش,5
وكاع,5
ونا,5
ماغن,5
وهكا,5
ومي,5
بلاصتي,5
بغيناش,5
ككذب,5
وخديت,5
للفيلا,5
نجيبوا,5
نعرفوا,5
سمعتي,5
كنشوفها,5
الغدا,5
يتعاود,5
نتعرف,5
خاطر,5
ومين,5
لابسه,5
كرد,5
لبيت,5
خيه,5
راجي,5
وراكم,5
كيعرفو,5
ودرتها,5
خديته,5
العشوب,5
عليا,5
مسالي,5
بالفقس,5
سخونه,5
سميتها,5
كيجيني,5
اختاريت,5
كطح,5
لاصقه,5
وكنموت,5
كنديه,5
كنح,5
عتي,5
وليدات,5
كنخ,5
وديال,5
بوحدك,5
بالزربة,5
كسالي,5
تقدري,5
وليدي,5
كثرت,5
كومنتير,5
بنيتي,5
ياكلوها,5
مادرتش,5
التحت,5
شفتها,5
كتحمل,5
كتقلب,5
لكمش,5
مزيانا,5
كتلصق,5
تبدل,5
مايكونش,5
بنين,5
البزار,5
وليداتكم,5
الجنب,5
نخليكم,5
الكاغي,5
فنه,5
الروبيني,5
عفاكم,5
فهذاك,5
نستعمل,5
السيمانه,5
نعطيو,4
عود,4
بقاو,4
جاتها,4
وراجل,4
دري,4
ولي,4
تيقول,4
فلانيه,4
وشوفي,4
نصلح,4
نصوني,4
تحط,4
خسرتي,4
تقوللك,4
نمرتك,4
نخوي,4
تعاودي,4
يب,4
تصدمت,4
قصح,4
غيجي,4
وتقدر,4
تنشوف,4
شوفات,4
قدامه,4
عجبتيني,4
وعجبتني,4
باك,4
وايه,4
تزوجتي,4
وغدي,4
تشري,4
مقبله,4
غتمشي,4
قي,4
لقهوه,4
كنتسنى,4
عاطيه,4
كتقطع,4
لعندها,4
تشوفني,4
خو,4
وكنش,4
القدام,4
ريوسهم,4
فراسك,4
الادمين,4
عك,4
سول,4
تخلعت,4
خدمتها,4
لتما,4
كحط,4
جتني,4
تنوض,4
خدمتي,4
نطيح,4
مزوجه,4
بزف,4
كيبغيو,4
كلك,4
النص,4
دك,4
كجمع,4
كريدي,4
خصش,4
الطلق,4
خت,4
حيد,4
كلمات,4
كبحث,4
الحومه,4
ويخليها,4
ليكوش,4
جداتي,4
تزاديت,4
حداها,4
ولادنا,4
باركه,4
وليداتك,4
ماكرهتش,4
بارطجي,4
كنبو,4
كنل,4
اللور,4
ماتيش,4
يحيد,4
ولت,4
كتسمع,4
تشوفي,4
قلتلهم,4
كرشي,4
ذاكي,4
جمعي,4
ماتجيش,4
الطياب,4
خلاتني,4
العيد,4
عطيتها,4
الشويه,4
حداك,4
يشافيك,4
بالضره,4
الخو,4
شاري,4
كاري,4
نوريك,4
قالش,4
لاش,4
غتولي,4
جابها,4
شو,4
الطاكسي,4
حكا,4
لخاطري,4
رجلها,4
دخلوني,4
مريحين,4
شدتني,4
ضار,4
نسافر,4
وج,4
كشري,4
عطتني,4
المكه,4
الكارو,4
ميكه,4
ماكاينش,4
كيبقاو,4
شفرت,4
وهد,4
طابله,4
مليحه,4
ناضي,4
وماكن,4
الطوموبيلات,4
بلاص,4
نوريهم,4
جبدو,4
كنسول,4
وتى,4
الساك,4
وماكي,4
الصرف,4
عطيتهم,4
لقوني,4
عيطوا,4
يشوفوا,4
الغراض,4
عد,4
حدانا,4
وده,4
دزت,4
اطوني,4
مادخلش,4
كنكره,4
ساهل,4
نبداو,4
المقله,4
وطاح,4
لالا,4
الكاشو,4
الشرجم,4
نبقاو,4
غد,4
وخليه,4
البورطابل,4
وكنشوف,4
قبيله,4
تخلص,4
بالخف,4
شدينا,4
ككيف,4
تعيط,4
ونجيب,4
كتعرفوا,4
كتسول,4
لعيبه,4
معطل,4
ماديت,4
للدرب,4
لبلايص,4
راسنا,4
تنزل,4
حكر,4
فرحانين,4
تحيدوا,4
بغيتيها,4
يطيب,4
فهمتوني,4
تليفون,4
امتى,4
اسيدي,4
كنتسنا,4
تهنيت,4
نحل,4
ضرت,4
يهز,4
وخليته,4
كيدي,4
الدومين,4
يخطيك,4
عجبك,4
عاودنا,4
تلاقينا,4
قنت,4
خممت,4
الرفيقه,4
العكر,4
كتصرف,4
يخليك,4
ويه,4
بصفه,4
كيبين,4
بقيناش,4
كنتلا,4
الضم,4
صغار,4
عجبته,4
جيتي,4
وبحال,4
نجاوب,4
المعقول,4
بغيني,4
لدارك,4
عقدت,4
بالمز,4
عطى,4
النعس,4
يرجع,4
ارتاحيت,4
عيانه,4
كتعجبو,4
كيوقع,4
مرتاحش,4
يلصق,4
يجيني,4
دو,4
وجاتني,4
كشكي,4
كيشرب,4
الفوائد,4
نفعني,4
كنشكر,4
وبسلامه,4
النوعيه,4
الحجم,4
وولده,4
وعرضت,4
جداد,4
ومازال,4
والعمر,4
وكتر,4
الفقص,4
راهي,4
وكتو,4
بذاك,4
حطه,4
التكوين,4
كتحف,4
لقدام,4
القطران,4
شريتها,4
نيتي,4
كتعاود,4
تشكي,4
وترجع,4
ماجبوش,4
العر,4
كملتها,4
حشاكم,4
خليهم,4
كزيد,4
كعيب,4
جبتني,4
لراسي,4
دوا,4
وتقدروا,4
الزنجلان,4
الجاي,4
عمرت,4
فديك,4
كيسول,4
كنب,4
طايره,4
عشيه,4
وشق,4
نشقى,4
كشق,4
الع,4
كنتوا,4
هبيله,4
كنحلم,4
كجب,4
بحالتهم,4
اجيو,4
رجعوا,4
لولدهم,4
زولت,4
كادو,4
قدني,4
كتهز,4
وبويا,4
لخويا,4
تخلع,4
محلول,4
كيحر,4
حنايا,4
شافها,4
متناقشين,4
العروسه,4
هاهي,4
كنش,4
نشدها,4
الخاوي,4
بجلها,4
بالكم,4
هزني,4
الكادو,4
غضبانه,4
فهنا,4
فضروري,4
فغا,4
كنخلط,4
البسكوي,4
فاتت,4
الفلفله,4
البنه,4
عامرين,4
القوام,4
كتزيدي,4
تزيدوا,4
نحطو,4
اللعبات,4
الخص,4
البلغ,4
كتخليه,4
كتشوفوا,4
الحامض,4
نقطعها,4
الخضر,4
تطيب,4
كتاخدي,4
وحاجه,4
وريتكم,4
كرواصه,4
ستارباكس,4
خليكم,4
فصافي,4
نقرصها,4
الباركينغ,4
نعودكم,3
تجيك,3
عجبكم,3
يت,3
تتحس,3
يسول,3
حجره,3
مايقولوا,3
تخرجوا,3
تشوفك,3
وخص,3
الشمت,3
بالمراه,3
خي,3
